site,longitude,latitude,postcode,location
Newsham Park,-2.936743702,53.4183884,L6 7UN,"53.418388399298664, -2.9367437018498017"
Anfield Stadium,-2.961647826,53.43130376,L4 0TH,"53.43130375781389, -2.9616478257991172"
City Centre,-2.982216368,53.4050658,L1 3AY,"53.40506580413947, -2.9822163678346434"
Asda Smitdown Road,-2.936944981,53.3934623,L15 3JR,"53.39346230058647, -2.936944981222676"
Anfield Sports Centre,-2.944437041,53.42773549,L6 0AG,"53.42773548858224, -2.944437040554398"
Old Terminus/Orient Hotel,-2.828686162,53.34621873,L24 2SX,"53.34621872942098, -2.8286861615746104"
Toxteth Town Hall,-2.964574337,53.38606076,L8 8DX,"53.386060756208, -2.9645743368124253"
