,ltla_code,X,utla_code,utla_name,ltla_name,total_first_dose,total_second_dose,population,median_age,White_British,Other_White,Mixed,Asian,Black,Other,mean_imd_score
58,E07000004,315,E07000004,Aylesbury Vale,Aylesbury Vale,345105,248966,543973,42.2,80.8988764,5.43071161,2.996254682,7.677902622,1.872659176,1.123595506,10.052
59,E07000005,316,E07000005,Chiltern,Chiltern,345105,248966,543973,42.2,80.8988764,5.43071161,2.996254682,7.677902622,1.872659176,1.123595506,10.052
60,E07000006,317,E07000006,South Bucks,South Bucks,345105,248966,543973,42.2,80.8988764,5.43071161,2.996254682,7.677902622,1.872659176,1.123595506,10.052
61,E07000007,318,E07000007,Wycombe,Wycombe,345105,248966,543973,42.2,80.8988764,5.43071161,2.996254682,7.677902622,1.872659176,1.123595506,10.052
62,E07000008,58,E10000003,Cambridgeshire,Cambridge,77123,48434,124798,31,68.8,15.2,3.2,9.6,1.6,1.6,14.855
63,E07000009,59,E10000003,Cambridgeshire,East Cambridgeshire,60193,44888,89840,42.8,94.31818182,4.545454545,1.136363636,0,0,0,11.507
64,E07000010,60,E10000003,Cambridgeshire,Fenland,66267,51025,101850,44.7,92,5,2,1,0,0,25.426
65,E07000011,61,E10000003,Cambridgeshire,Huntingdonshire,121625,88482,177963,43.1,89.20454545,6.25,1.704545455,2.272727273,0.568181818,0,12.55
66,E07000012,62,E10000003,Cambridgeshire,South Cambridgeshire,106964,77907,159086,42.7,83.33333333,9.615384615,2.564102564,3.846153846,0,0.641025641,8.496
67,E07000026,63,E10000006,Cumbria,Allerdale,72724,56159,97761,47.5,98.96907216,1.030927835,0,0,0,0,22.938
68,E07000027,64,E10000006,Cumbria,Barrow-in-Furness,44607,33169,67049,44.9,95.52238806,1.492537313,0,1.492537313,1.492537313,0,31.117
69,E07000028,65,E10000006,Cumbria,Carlisle,71367,53280,108678,44.5,95.37037037,3.703703704,0,0.925925926,0,0,21.997
70,E07000029,66,E10000006,Cumbria,Copeland,48670,33448,68183,46.4,98.55072464,1.449275362,0,0,0,0,25.012
71,E07000030,67,E10000006,Cumbria,Eden,38405,27659,53253,49.8,98.11320755,1.886792453,0,0,0,0,16.328
72,E07000031,68,E10000006,Cumbria,South Lakeland,74160,57941,105088,50.5,97.08737864,0.970873786,0,1.941747573,0,0,12.501
73,E07000032,69,E10000007,Derbyshire,Amber Valley,86624,70647,128147,45.7,97.6,0.8,0,1.6,0,0,17.97
74,E07000033,70,E10000007,Derbyshire,Bolsover,53427,42013,80562,43.8,98.71794872,1.282051282,0,0,0,0,25.047
75,E07000034,71,E10000007,Derbyshire,Chesterfield,73271,57518,104900,44.3,95.19230769,1.923076923,0,1.923076923,0.961538462,0,24.926
76,E07000035,72,E10000007,Derbyshire,Derbyshire Dales,52428,41959,72325,50.2,98.5915493,1.408450704,0,0,0,0,11.895
77,E07000036,73,E10000007,Derbyshire,Erewash,74639,57396,115371,43.5,97.36842105,0.877192982,0.877192982,0,0,0.877192982,18.818
78,E07000037,74,E10000007,Derbyshire,High Peak,63365,49370,92666,45.5,94.56521739,2.173913043,1.086956522,2.173913043,0,0,15.642
79,E07000038,75,E10000007,Derbyshire,North East Derbyshire,73520,58643,101462,47.3,99,0,0,1,0,0,17.399
80,E07000039,76,E10000007,Derbyshire,South Derbyshire,72442,56155,107261,42.2,96.03960396,0.99009901,0,1.98019802,0,0.99009901,14.494
81,E07000040,77,E10000008,Devon,East Devon,103651,83656,146284,50.7,96.4028777,2.158273381,0,1.438848921,0,0,12.764
82,E07000041,78,E10000008,Devon,Exeter,74177,54395,131405,33.9,81.88976378,7.874015748,1.57480315,6.299212598,0.787401575,1.57480315,16.215
83,E07000042,79,E10000008,Devon,Mid Devon,54601,42216,82311,46.4,96.20253165,2.53164557,0,0,0,1.265822785,16.928
84,E07000043,80,E10000008,Devon,North Devon,67727,52794,97145,47.3,98.93617021,1.063829787,0,0,0,0,20.559
85,E07000044,81,E10000008,Devon,South Hams,61615,49103,87004,50.9,94.11764706,3.529411765,1.176470588,1.176470588,0,0,13.724
86,E07000045,82,E10000008,Devon,Teignbridge,96077,74502,134163,48.9,95.38461538,3.076923077,0.769230769,0.769230769,0,0,15.893
87,E07000046,83,E10000008,Devon,Torridge,47365,38565,68267,49.7,100,0,0,0,0,0,23.269
88,E07000047,84,E10000008,Devon,West Devon,40062,32433,55796,50.4,90.90909091,5.454545455,3.636363636,0,0,0,18.052
89,E07000061,85,E10000011,East Sussex,Eastbourne,67893,54626,103745,45.3,88.34951456,7.766990291,0.970873786,0.970873786,0,1.941747573,22.11
90,E07000062,86,E10000011,East Sussex,Hastings,55670,40514,92661,42.6,92.47311828,4.301075269,1.075268817,0,2.150537634,0,34.281
91,E07000063,87,E10000011,East Sussex,Lewes,69308,54289,103268,47.4,93.06930693,2.97029703,0.99009901,1.98019802,0,0.99009901,15.758
92,E07000064,88,E10000011,East Sussex,Rother,66675,54663,96080,52.5,95.74468085,2.127659574,1.063829787,1.063829787,0,0,19.768
93,E07000065,89,E10000011,East Sussex,Wealden,108696,85625,161475,48.6,94.30379747,3.164556962,0.632911392,1.898734177,0,0,12.311
94,E07000066,90,E10000012,Essex,Basildon,115403,81857,187199,39.4,85.32608696,3.804347826,1.630434783,5.434782609,3.260869565,0.543478261,23.243
95,E07000067,91,E10000012,Essex,Braintree,97773,70723,152604,43.2,96.02649007,1.324503311,0,1.324503311,0.662251656,0.662251656,14.723
96,E07000068,92,E10000012,Essex,Brentwood,49901,34966,77021,43.4,89.61038961,2.597402597,1.298701299,3.896103896,0,2.597402597,10.007
97,E07000069,93,E10000012,Essex,Castle Point,60380,47722,90376,46.8,98.88888889,1.111111111,0,0,0,0,16.842
98,E07000070,94,E10000012,Essex,Chelmsford,115765,81104,178388,41.5,86.85714286,3.428571429,1.142857143,4,2.857142857,1.714285714,12.221
99,E07000071,95,E10000012,Essex,Colchester,116474,83587,194706,38,86.70212766,4.255319149,1.595744681,2.659574468,2.659574468,2.127659574,16.778
100,E07000072,96,E10000012,Essex,Epping Forest,80993,58643,131689,42.7,84.61538462,4.615384615,3.076923077,3.846153846,2.307692308,1.538461538,15.068
101,E07000073,97,E10000012,Essex,Harlow,50685,36040,87067,37.4,77.64705882,7.058823529,2.352941176,5.882352941,5.882352941,1.176470588,21.413
102,E07000074,98,E10000012,Essex,Maldon,44696,34663,64926,48.4,96.82539683,3.174603175,0,0,0,0,14.169
103,E07000075,99,E10000012,Essex,Rochford,59011,44957,87368,45.9,97.6744186,2.325581395,0,0,0,0,10.449
104,E07000076,100,E10000012,Essex,Tendring,103528,84433,146561,50.3,95.1048951,2.797202797,1.398601399,0.699300699,0,0,30.484
105,E07000077,101,E10000012,Essex,Uttlesford,60348,43813,91284,43.9,90.8045977,4.597701149,2.298850575,0,1.149425287,1.149425287,9.258
106,E07000078,102,E10000013,Gloucestershire,Cheltenham,79624,54435,116306,40,86.44067797,5.93220339,0.847457627,5.084745763,0,1.694915254,14.26
107,E07000079,103,E10000013,Gloucestershire,Cotswold,64727,50842,89862,48.6,96.47058824,3.529411765,0,0,0,0,11.061
108,E07000080,104,E10000013,Gloucestershire,Forest of Dean,53888,44255,86791,47.8,98.82352941,1.176470588,0,0,0,0,18.013
109,E07000081,105,E10000013,Gloucestershire,Gloucester,80753,61007,129128,38.6,85.9375,4.6875,2.34375,2.34375,3.90625,0.78125,21.807
110,E07000082,106,E10000013,Gloucestershire,Stroud,81517,66280,119964,46.1,96.58119658,1.709401709,0.854700855,0.854700855,0,0,10.797
111,E07000083,107,E10000013,Gloucestershire,Tewkesbury,65956,48754,95019,44.9,92.04545455,2.272727273,1.136363636,3.409090909,0,1.136363636,12.142
112,E07000084,108,E10000014,Hampshire,Basingstoke and Deane,114939,82488,176582,40.8,83.52272727,3.977272727,2.840909091,7.386363636,1.136363636,1.136363636,12.823
113,E07000085,109,E10000014,Hampshire,East Hampshire,85228,67278,122308,46.7,92.37288136,3.389830508,1.694915254,0.847457627,0.847457627,0.847457627,10.284
114,E07000086,110,E10000014,Hampshire,Eastleigh,86492,63825,133584,42.2,93.07692308,2.307692308,0.769230769,3.076923077,0,0.769230769,10.192
115,E07000087,111,E10000014,Hampshire,Fareham,80618,64251,116233,46,99.13793103,0.862068966,0,0,0,0,9.019
116,E07000088,112,E10000014,Hampshire,Gosport,52329,41542,84838,42,95.29411765,1.176470588,1.176470588,2.352941176,0,0,20.541
117,E07000089,113,E10000014,Hampshire,Hart,68870,49620,97073,43.3,87.36842105,3.157894737,2.105263158,3.157894737,1.052631579,3.157894737,5.544
118,E07000090,114,E10000014,Hampshire,Havant,83806,69500,126220,45.7,95.16129032,1.612903226,1.612903226,1.612903226,0,0,21.806
119,E07000091,115,E10000014,Hampshire,New Forest,129363,104395,180086,50,96.08938547,1.675977654,0.558659218,1.117318436,0.558659218,0,13.015
120,E07000092,116,E10000014,Hampshire,Rushmoor,63495,42501,94599,37.9,83.15789474,5.263157895,1.052631579,7.368421053,1.052631579,2.105263158,15.903
121,E07000093,117,E10000014,Hampshire,Test Valley,85265,62123,126160,44.7,95.08196721,2.459016393,0,2.459016393,0,0,11.931
122,E07000094,118,E10000014,Hampshire,Winchester,83321,62051,124859,43,91.8699187,2.43902439,3.25203252,1.62601626,0,0.81300813,9.615
123,E07000095,119,E10000015,Hertfordshire,Broxbourne,57511,41954,97279,40.2,81.44329897,6.18556701,2.06185567,4.12371134,6.18556701,0,17.989
124,E07000096,120,E10000015,Hertfordshire,Dacorum,95160,68497,154763,40.6,88.15789474,3.947368421,1.973684211,3.947368421,1.973684211,0,13.004
125,E07000098,121,E10000015,Hertfordshire,Hertsmere,67852,51714,104919,40.6,77.66990291,6.796116505,2.912621359,7.766990291,2.912621359,1.941747573,13.938
126,E07000099,122,E10000015,Hertfordshire,North Hertfordshire,87059,61984,133570,41.9,87.31343284,2.23880597,0.746268657,6.71641791,2.23880597,0.746268657,11.627
127,E07000102,123,E10000015,Hertfordshire,Three Rivers,61149,44124,93323,41.7,81.72043011,7.52688172,1.075268817,8.602150538,1.075268817,0,9.871
